Date,Actual,Basic_nn
2009-07-19,6926.94,6810.3335
2009-07-19,7013.48,6744.2583
2009-07-19,7248.28,6758.9014
2009-07-19,7497.24,6851.369
2009-07-19,7805.76,6957.122
2009-07-19,8451.59,7242.9062
2009-07-19,8985.4,7511.492
2009-07-19,9440.56,7967.608
2009-07-19,9619.92,8709.638
2009-07-19,9630.68,9385.018
2009-07-19,9517.16,9932.643
2009-07-19,9262.25,10205.071
2009-07-19,9005.16,10185.807
2009-07-19,8750.32,10062.052
2009-07-19,8580.13,9816.141
2009-07-19,8433.98,9498.701
2009-07-19,8230.55,9238.181
2009-07-19,8149.85,8997.855
2009-07-19,8077.91,8836.677
2009-07-19,8029.53,8682.04
2009-07-19,8032.82,8527.68
2009-07-19,8163.39,8388.967
2009-07-19,8392.42,8305.2705
2009-07-19,8824.91,8335.514
2009-07-19,9576.14,8485.468
2009-07-19,10500.81,8715.41
2009-07-19,10870.08,9165.622
2009-07-19,10836.93,9994.862
2009-07-19,10712.02,10684.11
2009-07-19,10626.41,10802.284
2009-07-19,10536.68,10772.683
2009-07-19,10356.51,10715.525
2009-07-19,10065.25,10637.809
2009-07-19,9744.82,10606.5625
2009-07-19,9634.34,10522.564
2009-07-19,9242.02,10299.004
2009-07-19,8964.32,10112.526
2009-07-20,8615.35,9981.151
2009-07-20,8313.57,9751.741
2009-07-20,8043.91,9173.812
2009-07-20,7863.61,8771.327
2009-07-20,7655.77,8491.028
2009-07-20,7324.77,8264.386
2009-07-20,7105.36,8088.658
2009-07-20,6967.02,7797.428
2009-07-20,6914.71,7451.283
2009-07-20,6935.37,7197.855
2009-07-20,7015.38,7056.0303
2009-07-20,7346.94,6997.5645
2009-07-20,7788.13,7000.518
2009-07-20,8660.75,7114.637
2009-07-20,9377.68,7392.8823
2009-07-20,9961.1,7941.9146
2009-07-20,10528.42,8914.212
2009-07-20,10871.24,9726.374
2009-07-20,10918.06,10311.339
2009-07-20,10944.34,10834.481
2009-07-20,10728.47,11046.711
2009-07-20,10649.83,11130.137
2009-07-20,10469.61,11108.356
2009-07-20,10233.18,10911.199
2009-07-20,10068.58,10663.473
2009-07-20,9980.64,10404.24
2009-07-20,9785.53,10174.186
